CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Combined_Score,RFM_Score_Label,Customer_Segment
13832,58,1,242.51,3,1,2,6,3-1-2,Occasional Browsers
13833,40,1,213.86,3,1,2,6,3-1-2,Occasional Browsers
13834,212,2,178.5,1,2,2,5,1-2-2,Disengaged Low-Value
13835,155,3,161.3,2,3,1,6,2-3-1,Fading Customers
13836,35,2,449.03,4,2,3,9,4-2-3,Promising Newcomers
13838,5,7,1106.41,5,5,4,14,5-5-4,High-Value Regulars
13839,122,1,139.95,2,1,1,4,2-1-1,Disengaged Low-Value
13840,52,1,579.8,3,1,3,7,3-1-3,Occasional Browsers
13842,2,10,1686.19,5,5,5,15,5-5-5,High-Value Regulars
13843,17,1,244.15,4,1,2,7,4-1-2,Promising Newcomers
13846,35,1,426.83,4,1,3,8,4-1-3,Promising Newcomers
13847,355,1,221.92,1,1,2,4,1-1-2,Disengaged Low-Value
13849,33,3,1406.84,4,3,5,12,4-3-5,Loyal Mid-Tier
13851,15,4,1057.1,5,4,4,13,5-4-4,High-Value Regulars
13852,246,1,187.35,1,1,2,4,1-1-2,Disengaged Low-Value
13854,16,13,682.28,4,5,4,13,4-5-4,High-Value Regulars
13855,136,4,1100.8,2,4,4,10,2-4-4,Dormant Spenders
13856,99,7,357.97,2,5,3,10,2-5-3,Occasional Browsers
13857,29,6,884.28,4,5,4,13,4-5-4,High-Value Regulars
13859,165,1,81.15,2,1,1,4,2-1-1,Disengaged Low-Value
13861,65,2,223.61,3,2,2,7,3-2-2,Fading Customers
13862,25,1,346.73,4,1,3,8,4-1-3,Promising Newcomers
13863,101,3,674.92,2,3,4,9,2-3-4,Fading Customers
13869,17,6,3818.64,4,5,5,14,4-5-5,High-Value Regulars
13870,23,7,1695.78,4,5,5,14,4-5-5,High-Value Regulars
13871,64,4,1067.9,3,4,4,11,3-4-4,Loyal Mid-Tier
13872,163,3,862.37,2,3,4,9,2-3-4,Fading Customers
13873,19,5,394.3,4,4,3,11,4-4-3,Loyal Mid-Tier
13874,140,6,657.7,2,5,4,11,2-5-4,Dormant Spenders
13875,23,9,2294.48,4,5,5,14,4-5-5,High-Value Regulars
13877,106,2,205.02,2,2,2,6,2-2-2,Fading Customers
13878,183,3,670.65,1,3,4,8,1-3-4,Dormant Spenders
13879,281,1,375.6,1,1,3,5,1-1-3,Occasional Browsers
13880,3,5,1075.89,5,4,4,13,5-4-4,High-Value Regulars
13881,121,5,637.34,2,4,4,10,2-4-4,Dormant Spenders
13883,39,9,2871.47,3,5,5,13,3-5-5,Loyal Mid-Tier
13884,12,5,903.43,5,4,4,13,5-4-4,High-Value Regulars
13888,40,5,945.73,3,4,4,11,3-4-4,Loyal Mid-Tier
13889,18,5,1389.23,4,4,5,13,4-4-5,High-Value Regulars
13890,10,4,944.82,5,4,4,13,5-4-4,High-Value Regulars
13891,14,3,696.36,5,3,4,12,5-3-4,Loyal Mid-Tier
13892,211,1,12.6,1,1,1,3,1-1-1,Disengaged Low-Value
13895,151,2,965.0,2,2,4,8,2-2-4,Fading Customers
13896,261,1,261.05,1,1,2,4,1-1-2,Disengaged Low-Value
13897,74,2,747.27,2,2,4,8,2-2-4,Fading Customers
13898,47,1,464.67,3,1,3,7,3-1-3,Occasional Browsers
13900,25,3,693.52,4,3,4,11,4-3-4,Loyal Mid-Tier
13901,10,10,2143.58,5,5,5,15,5-5-5,High-Value Regulars
13902,360,1,55.86,1,1,1,3,1-1-1,Disengaged Low-Value
13903,36,1,165.45,4,1,2,7,4-1-2,Promising Newcomers
13905,368,1,122.1,1,1,1,3,1-1-1,Disengaged Low-Value
13907,327,1,55.2,1,1,1,3,1-1-1,Disengaged Low-Value
13909,59,2,179.0,3,2,2,7,3-2-2,Fading Customers
13911,15,11,1070.37,5,5,4,14,5-5-4,High-Value Regulars
13912,59,1,124.95,3,1,1,5,3-1-1,Occasional Browsers
13913,142,1,13.52,2,1,1,4,2-1-1,Disengaged Low-Value
13915,30,1,17.7,4,1,1,6,4-1-1,Promising Newcomers
13916,99,4,960.56,2,4,4,10,2-4-4,Dormant Spenders
13919,60,2,623.65,3,2,4,9,3-2-4,Fading Customers
13920,67,4,879.5,3,4,4,11,3-4-4,Loyal Mid-Tier
13921,38,4,539.05,3,4,3,10,3-4-3,Loyal Mid-Tier
13922,73,2,305.95,2,2,2,6,2-2-2,Fading Customers
13927,73,1,303.05,2,1,2,5,2-1-2,Disengaged Low-Value
13929,52,6,518.46,3,5,3,11,3-5-3,Loyal Mid-Tier
13931,28,9,3352.39,4,5,5,14,4-5-5,High-Value Regulars
13935,232,2,315.33,1,2,3,6,1-2-3,Occasional Browsers
13936,18,2,528.18,4,2,3,9,4-2-3,Promising Newcomers
13937,38,1,658.65,3,1,4,8,3-1-4,Big Spender Infrequent
13939,67,4,801.11,3,4,4,11,3-4-4,Loyal Mid-Tier
13941,8,6,213.24,5,5,2,12,5-5-2,Occasional Browsers
13943,213,1,204.04,1,1,2,4,1-1-2,Disengaged Low-Value
13944,289,1,192.87,1,1,2,4,1-1-2,Disengaged Low-Value
13945,30,2,644.95,4,2,4,10,4-2-4,Promising Newcomers
13946,12,3,175.6,5,3,2,10,5-3-2,Occasional Browsers
13948,47,3,300.06,3,3,2,8,3-3-2,Fading Customers
13952,16,11,2723.81,4,5,5,14,4-5-5,High-Value Regulars
13955,11,1,126.8,5,1,1,7,5-1-1,Promising Newcomers
13957,53,3,339.65,3,3,3,9,3-3-3,Loyal Mid-Tier
13958,15,8,2587.91,5,5,5,15,5-5-5,High-Value Regulars
13959,35,3,347.35,4,3,3,10,4-3-3,Loyal Mid-Tier
13961,28,1,195.15,4,1,2,7,4-1-2,Promising Newcomers
13962,71,1,163.5,3,1,2,6,3-1-2,Occasional Browsers
13963,3,14,1810.18,5,5,5,15,5-5-5,High-Value Regulars
13964,23,2,310.5,4,2,2,8,4-2-2,Promising Newcomers
13965,112,3,295.7,2,3,2,7,2-3-2,Fading Customers
13966,71,1,263.3,3,1,2,6,3-1-2,Occasional Browsers
13967,32,1,65.7,4,1,1,6,4-1-1,Promising Newcomers
13968,59,1,78.3,3,1,1,5,3-1-1,Occasional Browsers
13969,1,18,3793.78,5,5,5,15,5-5-5,High-Value Regulars
13970,73,1,247.99,2,1,2,5,2-1-2,Disengaged Low-Value
13971,59,6,1680.34,3,5,5,13,3-5-5,Loyal Mid-Tier
13974,218,1,228.33,1,1,2,4,1-1-2,Disengaged Low-Value
13975,29,6,2530.84,4,5,5,14,4-5-5,High-Value Regulars
13976,142,3,643.18,2,3,4,9,2-3-4,Fading Customers
13977,47,1,92.85,3,1,1,5,3-1-1,Occasional Browsers
13979,29,6,2167.71,4,5,5,14,4-5-5,High-Value Regulars
13980,75,4,436.18,2,4,3,9,2-4-3,Occasional Browsers
13981,51,1,260.59,3,1,2,6,3-1-2,Occasional Browsers
13982,1,6,1587.08,5,5,5,15,5-5-5,High-Value Regulars
13983,2,10,2311.76,5,5,5,15,5-5-5,High-Value Regulars
13984,2,8,701.29,5,5,4,14,5-5-4,High-Value Regulars
13985,10,7,2212.48,5,5,5,15,5-5-5,High-Value Regulars
13987,15,2,666.64,5,2,4,11,5-2-4,Promising Newcomers
13988,19,2,494.49,4,2,3,9,4-2-3,Promising Newcomers
13989,100,3,670.46,2,3,4,9,2-3-4,Fading Customers
13992,16,2,80.0,4,2,1,7,4-2-1,Promising Newcomers
13993,15,10,2413.86,5,5,5,15,5-5-5,High-Value Regulars
13995,15,9,2136.78,5,5,5,15,5-5-5,High-Value Regulars
13996,22,2,496.98,4,2,3,9,4-2-3,Promising Newcomers
13997,155,2,221.66,2,2,2,6,2-2-2,Fading Customers
13998,82,3,399.2,2,3,3,8,2-3-3,Fading Customers
13999,10,17,3265.28,5,5,5,15,5-5-5,High-Value Regulars
14000,50,3,226.16,3,3,2,8,3-3-2,Fading Customers
14001,9,6,1021.11,5,5,4,14,5-5-4,High-Value Regulars
14003,368,1,166.43,1,1,2,4,1-1-2,Disengaged Low-Value
14004,29,4,1081.9,4,4,4,12,4-4-4,High-Value Regulars
14006,164,4,491.4,2,4,3,9,2-4-3,Occasional Browsers
14007,148,1,42.58,2,1,1,4,2-1-1,Disengaged Low-Value
14008,68,1,509.04,3,1,3,7,3-1-3,Occasional Browsers
14009,98,1,265.3,2,1,2,5,2-1-2,Disengaged Low-Value
14010,201,2,243.55,1,2,2,5,1-2-2,Disengaged Low-Value
14011,116,2,365.66,2,2,3,7,2-2-3,Fading Customers
14013,16,2,440.25,4,2,3,9,4-2-3,Promising Newcomers
14014,12,2,384.29,5,2,3,10,5-2-3,Promising Newcomers
14016,32,7,3795.54,4,5,5,14,4-5-5,High-Value Regulars
14017,207,1,185.2,1,1,2,4,1-1-2,Disengaged Low-Value
14018,281,1,186.0,1,1,2,4,1-1-2,Disengaged Low-Value
14020,112,2,439.21,2,2,3,7,2-2-3,Fading Customers
14021,10,4,869.17,5,4,4,13,5-4-4,High-Value Regulars
14022,122,1,335.15,2,1,3,6,2-1-3,Occasional Browsers
14024,26,1,190.04,4,1,2,7,4-1-2,Promising Newcomers
14025,100,8,1003.96,2,5,4,11,2-5-4,Dormant Spenders
14026,106,2,713.11,2,2,4,8,2-2-4,Fading Customers
14030,2,14,3608.95,5,5,5,15,5-5-5,High-Value Regulars
14031,1,26,4665.15,5,5,5,15,5-5-5,High-Value Regulars
14032,2,6,1288.56,5,5,5,15,5-5-5,High-Value Regulars
14035,42,4,643.68,3,4,4,11,3-4-4,Loyal Mid-Tier
14037,114,4,467.76,2,4,3,9,2-4-3,Occasional Browsers
14038,33,2,935.8,4,2,4,10,4-2-4,Promising Newcomers
14039,211,1,6.96,1,1,1,3,1-1-1,Disengaged Low-Value
14040,22,22,4954.69,4,5,5,14,4-5-5,High-Value Regulars
14042,361,1,263.28,1,1,2,4,1-1-2,Disengaged Low-Value
14043,127,2,197.2,2,2,2,6,2-2-2,Fading Customers
14044,54,6,2059.67,3,5,5,13,3-5-5,Loyal Mid-Tier
14047,8,10,1561.43,5,5,5,15,5-5-5,High-Value Regulars
14048,18,1,283.69,4,1,2,7,4-1-2,Promising Newcomers
14049,23,8,4031.16,4,5,5,14,4-5-5,High-Value Regulars
14051,2,13,967.8,5,5,4,14,5-5-4,High-Value Regulars
14052,26,1,165.4,4,1,2,7,4-1-2,Promising Newcomers
14053,33,2,68.25,4,2,1,7,4-2-1,Promising Newcomers
14055,213,2,361.75,1,2,3,6,1-2-3,Occasional Browsers
14057,17,5,1543.22,4,4,5,13,4-4-5,High-Value Regulars
14058,98,2,298.89,2,2,2,6,2-2-2,Fading Customers
14060,36,8,434.12,4,5,3,12,4-5-3,Loyal Mid-Tier
14061,360,2,228.5,1,2,2,5,1-2-2,Disengaged Low-Value
14062,10,10,1563.56,5,5,5,15,5-5-5,High-Value Regulars
14063,322,2,62.9,1,2,1,4,1-2-1,Disengaged Low-Value
14064,66,10,1292.21,3,5,5,13,3-5-5,Loyal Mid-Tier
14065,25,3,628.22,4,3,4,11,4-3-4,Loyal Mid-Tier
14068,239,3,1024.42,1,3,4,8,1-3-4,Dormant Spenders
14069,150,2,178.86,2,2,2,6,2-2-2,Fading Customers
14070,320,1,186.7,1,1,2,4,1-1-2,Disengaged Low-Value
14072,302,1,187.65,1,1,2,4,1-1-2,Disengaged Low-Value
14074,259,1,20.0,1,1,1,3,1-1-1,Disengaged Low-Value
14075,39,2,428.76,3,2,3,8,3-2-3,Fading Customers
14077,31,1,100.15,4,1,1,6,4-1-1,Promising Newcomers
14078,9,4,412.68,5,4,3,12,5-4-3,Loyal Mid-Tier
14080,49,4,446.29,3,4,3,10,3-4-3,Loyal Mid-Tier
14081,5,9,3485.87,5,5,5,15,5-5-5,High-Value Regulars
14082,28,1,167.96,4,1,2,7,4-1-2,Promising Newcomers
14083,7,2,251.23,5,2,2,9,5-2-2,Promising Newcomers
14084,148,1,56.4,2,1,1,4,2-1-1,Disengaged Low-Value
14085,4,15,4146.37,5,5,5,15,5-5-5,High-Value Regulars
14087,40,2,492.8,3,2,3,8,3-2-3,Fading Customers
14088,57,1,54.4,3,1,1,5,3-1-1,Occasional Browsers
14092,10,10,2385.02,5,5,5,15,5-5-5,High-Value Regulars
14094,75,1,234.37,2,1,2,5,2-1-2,Disengaged Low-Value
14095,358,1,2.95,1,1,1,3,1-1-1,Disengaged Low-Value
14097,117,2,367.46,2,2,3,7,2-2-3,Fading Customers
14099,11,9,2538.63,5,5,5,15,5-5-5,High-Value Regulars
14101,156,3,162.78,2,3,2,7,2-3-2,Fading Customers
14104,25,3,385.33,4,3,3,10,4-3-3,Loyal Mid-Tier
14105,44,4,3015.5,3,4,5,12,3-4-5,Loyal Mid-Tier
14107,84,4,1646.65,2,4,5,11,2-4-5,Dormant Spenders
14108,367,2,339.65,1,2,3,6,1-2-3,Occasional Browsers
14110,71,20,3015.17,3,5,5,13,3-5-5,Loyal Mid-Tier
14112,87,6,2136.34,2,5,5,12,2-5-5,Dormant Spenders
14113,11,8,680.1,5,5,4,14,5-5-4,High-Value Regulars
14114,31,5,817.7,4,4,4,12,4-4-4,High-Value Regulars
14115,137,2,240.95,2,2,2,6,2-2-2,Fading Customers
14118,64,1,173.25,3,1,2,6,3-1-2,Occasional Browsers
14119,11,2,117.04,5,2,1,8,5-2-1,Promising Newcomers
14122,42,2,182.84,3,2,2,7,3-2-2,Fading Customers
14123,369,1,423.43,1,1,3,5,1-1-3,Occasional Browsers
14126,80,1,423.03,2,1,3,6,2-1-3,Occasional Browsers
14127,16,3,986.37,4,3,4,11,4-3-4,Loyal Mid-Tier
14128,187,1,286.71,1,1,2,4,1-1-2,Disengaged Low-Value
14129,35,4,791.4,4,4,4,12,4-4-4,High-Value Regulars
14130,11,3,932.84,5,3,4,12,5-3-4,Loyal Mid-Tier
14131,284,1,168.22,1,1,2,4,1-1-2,Disengaged Low-Value
14133,369,1,59.7,1,1,1,3,1-1-1,Disengaged Low-Value
14134,43,9,1304.61,3,5,5,13,3-5-5,Loyal Mid-Tier
14135,3,9,1058.76,5,5,4,14,5-5-4,High-Value Regulars
14136,36,5,1332.63,4,4,5,13,4-4-5,High-Value Regulars
14137,331,1,120.6,1,1,1,3,1-1-1,Disengaged Low-Value
14139,126,3,556.78,2,3,3,8,2-3-3,Fading Customers
14142,9,2,621.43,5,2,4,11,5-2-4,Promising Newcomers
14144,122,1,30.6,2,1,1,4,2-1-1,Disengaged Low-Value
14146,19,7,3238.79,4,5,5,14,4-5-5,High-Value Regulars
14147,24,5,198.9,4,4,2,10,4-4-2,Occasional Browsers
14148,50,1,181.59,3,1,2,6,3-1-2,Occasional Browsers
14151,309,2,615.0,1,2,4,7,1-2-4,Dormant Spenders
14152,23,5,1249.33,4,4,5,13,4-4-5,High-Value Regulars
14153,119,1,233.4,2,1,2,5,2-1-2,Disengaged Low-Value
14154,17,5,3000.02,4,4,5,13,4-4-5,High-Value Regulars
14156,14,65,27585.92,5,5,5,15,5-5-5,High-Value Regulars
14157,25,3,526.85,4,3,3,10,4-3-3,Loyal Mid-Tier
14159,15,9,2772.3,5,5,5,15,5-5-5,High-Value Regulars
14160,246,5,686.35,1,4,4,9,1-4-4,Dormant Spenders
14161,5,5,1821.46,5,4,5,14,5-4-5,High-Value Regulars
14163,98,1,16.35,2,1,1,4,2-1-1,Disengaged Low-Value
14166,141,2,221.3,2,2,2,6,2-2-2,Fading Customers
14167,100,4,595.85,2,4,4,10,2-4-4,Dormant Spenders
14168,56,2,228.65,3,2,2,7,3-2-2,Fading Customers
14169,66,2,441.91,3,2,3,8,3-2-3,Fading Customers
14170,11,3,466.83,5,3,3,11,5-3-3,Loyal Mid-Tier
14171,366,1,33.3,1,1,1,3,1-1-1,Disengaged Low-Value
14172,241,3,188.82,1,3,2,6,1-3-2,Occasional Browsers
14173,277,2,53.56,1,2,1,4,1-2-1,Disengaged Low-Value
14175,54,5,2527.35,3,4,5,12,3-4-5,Loyal Mid-Tier
14176,3,2,237.85,5,2,2,9,5-2-2,Promising Newcomers
14177,17,7,823.98,4,5,4,13,4-5-4,High-Value Regulars
14180,8,9,357.08,5,5,3,13,5-5-3,Loyal Mid-Tier
14181,46,2,295.6,3,2,2,7,3-2-2,Fading Customers
14182,79,4,449.97,2,4,3,9,2-4-3,Occasional Browsers
14183,47,2,218.69,3,2,2,7,3-2-2,Fading Customers
14186,63,5,1421.39,3,4,5,12,3-4-5,Loyal Mid-Tier
14187,109,1,94.85,2,1,1,4,2-1-1,Disengaged Low-Value
14189,4,2,602.8,5,2,4,11,5-2-4,Promising Newcomers
14191,30,1,78.0,4,1,1,6,4-1-1,Promising Newcomers
14192,24,1,247.84,4,1,2,7,4-1-2,Promising Newcomers
14193,32,1,340.9,4,1,3,8,4-1-3,Promising Newcomers
14194,28,14,5132.93,4,5,5,14,4-5-5,High-Value Regulars
14197,46,1,310.7,3,1,2,6,3-1-2,Occasional Browsers
14198,36,5,577.13,4,4,3,11,4-4-3,Loyal Mid-Tier
14199,59,2,90.45,3,2,1,6,3-2-1,Fading Customers
14200,253,1,325.3,1,1,3,5,1-1-3,Occasional Browsers
14201,45,2,277.35,3,2,2,7,3-2-2,Fading Customers
14202,17,3,267.31,4,3,2,9,4-3-2,Occasional Browsers
14203,33,1,94.6,4,1,1,6,4-1-1,Promising Newcomers
14204,58,3,649.16,3,3,4,10,3-3-4,Loyal Mid-Tier
14205,30,7,1221.93,4,5,4,13,4-5-4,High-Value Regulars
14206,24,2,662.35,4,2,4,10,4-2-4,Promising Newcomers
14208,187,1,315.9,1,1,3,5,1-1-3,Occasional Browsers
14209,21,9,1982.13,4,5,5,14,4-5-5,High-Value Regulars
14210,7,11,3238.26,5,5,5,15,5-5-5,High-Value Regulars
14211,47,8,1698.64,3,5,5,13,3-5-5,Loyal Mid-Tier
14215,4,4,1212.65,5,4,4,13,5-4-4,High-Value Regulars
14216,50,1,206.59,3,1,2,6,3-1-2,Occasional Browsers
14217,2,7,766.31,5,5,4,14,5-5-4,High-Value Regulars
14219,45,2,420.84,3,2,3,8,3-2-3,Fading Customers
14220,203,2,207.6,1,2,2,5,1-2-2,Disengaged Low-Value
14221,85,8,2385.33,2,5,5,12,2-5-5,Dormant Spenders
14224,26,5,452.74,4,4,3,11,4-4-3,Loyal Mid-Tier
14225,70,4,1190.47,3,4,4,11,3-4-4,Loyal Mid-Tier
14226,77,1,533.4,2,1,3,6,2-1-3,Occasional Browsers
14227,50,5,2649.85,3,4,5,12,3-4-5,Loyal Mid-Tier
14228,73,3,565.8,2,3,3,8,2-3-3,Fading Customers
14229,39,4,502.34,3,4,3,10,3-4-3,Loyal Mid-Tier
14230,71,3,431.26,3,3,3,9,3-3-3,Loyal Mid-Tier
14231,86,1,309.91,2,1,2,5,2-1-2,Disengaged Low-Value
14233,101,2,559.75,2,2,3,7,2-2-3,Fading Customers
14235,134,4,950.87,2,4,4,10,2-4-4,Dormant Spenders
14236,8,3,389.48,5,3,3,11,5-3-3,Loyal Mid-Tier
14237,9,2,276.95,5,2,2,9,5-2-2,Promising Newcomers
14238,298,2,43.6,1,2,1,4,1-2-1,Disengaged Low-Value
14239,67,10,1625.26,3,5,5,13,3-5-5,Loyal Mid-Tier
14240,59,1,338.2,3,1,3,7,3-1-3,Occasional Browsers
14243,1,8,3025.04,5,5,5,15,5-5-5,High-Value Regulars
14244,296,1,245.46,1,1,2,4,1-1-2,Disengaged Low-Value
14247,40,4,418.6,3,4,3,10,3-4-3,Loyal Mid-Tier
14248,95,2,436.13,2,2,3,7,2-2-3,Fading Customers
14249,46,12,3090.98,3,5,5,13,3-5-5,Loyal Mid-Tier
14252,17,1,130.99,4,1,1,6,4-1-1,Promising Newcomers
14253,129,2,84.75,2,3,1,6,2-3-1,Fading Customers
14254,68,1,305.83,3,1,2,6,3-1-2,Occasional Browsers
14256,127,2,1170.78,2,3,4,9,2-3-4,Fading Customers
14257,16,4,2001.53,4,4,5,13,4-4-5,High-Value Regulars
14258,135,8,378.8,2,5,3,10,2-5-3,Occasional Browsers
14260,107,3,698.2,2,3,4,9,2-3-4,Fading Customers
14263,59,1,322.93,3,1,3,7,3-1-3,Occasional Browsers
14264,15,4,769.29,5,4,4,13,5-4-4,High-Value Regulars
14265,100,2,633.25,2,3,4,9,2-3-4,Fading Customers
14268,106,1,338.95,2,1,3,6,2-1-3,Occasional Browsers
14269,75,1,180.33,2,1,2,5,2-1-2,Disengaged Low-Value
14271,45,1,101.86,3,1,1,5,3-1-1,Occasional Browsers
14272,198,2,424.42,1,3,3,7,1-3-3,Occasional Browsers
14274,322,1,256.6,1,1,2,4,1-1-2,Disengaged Low-Value
14275,31,5,116.18,4,4,1,9,4-4-1,Occasional Browsers
14276,43,4,794.54,3,4,4,11,3-4-4,Loyal Mid-Tier
14277,47,4,621.5,3,4,4,11,3-4-4,Loyal Mid-Tier
14278,45,1,154.83,3,1,1,5,3-1-1,Occasional Browsers
14281,44,1,103.65,3,1,1,5,3-1-1,Occasional Browsers
14282,3,9,938.4,5,5,4,14,5-5-4,High-Value Regulars
14283,99,4,558.64,2,4,3,9,2-4-3,Occasional Browsers
14284,289,1,476.99,1,1,3,5,1-1-3,Occasional Browsers
14285,149,3,248.91,2,3,2,7,2-3-2,Fading Customers
14286,40,4,2858.55,3,4,5,12,3-4-5,Loyal Mid-Tier
14290,49,3,697.41,3,3,4,10,3-3-4,Loyal Mid-Tier
14291,16,11,3148.45,4,5,5,14,4-5-5,High-Value Regulars
14292,46,6,1007.58,3,5,4,12,3-5-4,Loyal Mid-Tier
14293,4,6,923.32,5,5,4,14,5-5-4,High-Value Regulars
14294,43,1,358.34,3,1,3,7,3-1-3,Occasional Browsers
14295,74,3,1009.76,2,3,4,9,2-3-4,Fading Customers
14296,57,2,372.05,3,3,3,9,3-3-3,Loyal Mid-Tier
14298,11,29,14819.2,5,5,5,15,5-5-5,High-Value Regulars
14299,1,18,1669.8,5,5,5,15,5-5-5,High-Value Regulars
14301,52,3,425.89,3,3,3,9,3-3-3,Loyal Mid-Tier
14302,66,2,415.3,3,3,3,9,3-3-3,Loyal Mid-Tier
14303,43,2,277.94,3,3,2,8,3-3-2,Fading Customers
14304,15,2,1077.2,5,3,4,12,5-3-4,Loyal Mid-Tier
14306,313,1,119.16,1,1,1,3,1-1-1,Disengaged Low-Value
14307,9,5,1769.28,5,4,5,14,5-4-5,High-Value Regulars
14309,49,2,906.96,3,3,4,10,3-3-4,Loyal Mid-Tier
14310,68,1,452.5,3,1,3,7,3-1-3,Occasional Browsers
14311,203,1,146.79,1,1,1,3,1-1-1,Disengaged Low-Value
14312,14,5,1086.69,5,4,4,13,5-4-4,High-Value Regulars
14314,66,1,15.0,3,1,1,5,3-1-1,Occasional Browsers
14315,200,2,389.09,1,3,3,7,1-3-3,Occasional Browsers
14316,58,5,236.94,3,4,2,9,3-4-2,Occasional Browsers
14318,96,1,144.1,2,1,1,4,2-1-1,Disengaged Low-Value
14319,60,1,473.85,3,1,3,7,3-1-3,Occasional Browsers
14320,182,3,612.81,1,3,4,8,1-3-4,Dormant Spenders
14321,67,2,543.76,3,3,3,9,3-3-3,Loyal Mid-Tier
14322,65,4,207.7,3,4,2,9,3-4-2,Occasional Browsers
14324,45,2,577.11,3,3,3,9,3-3-3,Loyal Mid-Tier
14325,205,1,198.08,1,1,2,4,1-1-2,Disengaged Low-Value
14326,99,2,662.01,2,3,4,9,2-3-4,Fading Customers
14327,18,5,1453.42,4,4,5,13,4-4-5,High-Value Regulars
14329,11,8,3872.79,5,5,5,15,5-5-5,High-Value Regulars
14330,259,1,200.63,1,1,2,4,1-1-2,Disengaged Low-Value
14332,17,2,545.9,4,3,3,10,4-3-3,Loyal Mid-Tier
14334,61,4,1325.29,3,4,5,12,3-4-5,Loyal Mid-Tier
14338,172,1,269.8,2,1,2,5,2-1-2,Disengaged Low-Value
14339,64,1,76.35,3,1,1,5,3-1-1,Occasional Browsers
14341,56,10,1900.4,3,5,5,13,3-5-5,Loyal Mid-Tier
14342,108,1,128.43,2,1,1,4,2-1-1,Disengaged Low-Value
14343,57,4,1004.46,3,4,4,11,3-4-4,Loyal Mid-Tier
14344,3,13,1726.12,5,5,5,15,5-5-5,High-Value Regulars
14346,61,3,908.39,3,3,4,10,3-3-4,Loyal Mid-Tier
14347,372,1,66.7,1,1,1,3,1-1-1,Disengaged Low-Value
14350,16,2,509.59,4,3,3,10,4-3-3,Loyal Mid-Tier
14353,46,2,225.44,3,3,2,8,3-3-2,Fading Customers
14355,1,3,808.25,5,3,4,12,5-3-4,Loyal Mid-Tier
14358,25,2,354.16,4,3,3,10,4-3-3,Loyal Mid-Tier
14361,214,1,162.28,1,1,2,4,1-1-2,Disengaged Low-Value
14363,38,2,51.72,3,3,1,7,3-3-1,Fading Customers
14365,30,2,594.88,4,3,4,11,4-3-4,Loyal Mid-Tier
14369,278,2,380.23,1,3,3,7,1-3-3,Occasional Browsers
14370,124,5,543.83,2,4,3,9,2-4-3,Occasional Browsers
14372,79,2,469.48,2,3,3,8,2-3-3,Fading Customers
14374,177,1,29.4,2,1,1,4,2-1-1,Disengaged Low-Value
14375,86,2,556.16,2,3,3,8,2-3-3,Fading Customers
14376,319,1,173.81,1,1,2,4,1-1-2,Disengaged Low-Value
14378,257,1,118.5,1,1,1,3,1-1-1,Disengaged Low-Value
14379,29,2,593.46,4,3,4,11,4-3-4,Loyal Mid-Tier
14381,87,1,423.26,2,1,3,6,2-1-3,Occasional Browsers
14382,26,1,511.32,4,1,3,8,4-1-3,Promising Newcomers
14384,136,1,58.5,2,1,1,4,2-1-1,Disengaged Low-Value
14388,8,9,3110.45,5,5,5,15,5-5-5,High-Value Regulars
14389,60,3,683.6,3,3,4,10,3-3-4,Loyal Mid-Tier
14390,8,5,1144.41,5,4,4,13,5-4-4,High-Value Regulars
14391,212,1,135.6,1,1,1,3,1-1-1,Disengaged Low-Value
14392,68,1,206.7,3,1,2,6,3-1-2,Occasional Browsers
14394,200,1,76.8,1,1,1,3,1-1-1,Disengaged Low-Value
14395,8,11,3648.05,5,5,5,15,5-5-5,High-Value Regulars
14396,7,6,1322.04,5,5,5,15,5-5-5,High-Value Regulars
14398,37,2,574.94,3,3,3,9,3-3-3,Loyal Mid-Tier
14399,30,8,1419.66,4,5,5,14,4-5-5,High-Value Regulars
14400,44,2,655.93,3,3,4,10,3-3-4,Loyal Mid-Tier
14401,60,9,751.18,3,5,4,12,3-5-4,Loyal Mid-Tier
14402,288,1,105.6,1,1,1,3,1-1-1,Disengaged Low-Value
14404,5,7,793.11,5,5,4,14,5-5-4,High-Value Regulars
14408,368,1,131.4,1,1,1,3,1-1-1,Disengaged Low-Value
14409,16,3,527.7,4,3,3,10,4-3-3,Loyal Mid-Tier
14410,12,2,1265.91,5,3,5,13,5-3-5,Loyal Mid-Tier
14412,60,1,489.06,3,1,3,7,3-1-3,Occasional Browsers
14413,46,2,267.27,3,3,2,8,3-3-2,Fading Customers
14414,10,1,286.8,5,1,2,8,5-1-2,Promising Newcomers
14415,15,10,5182.23,5,5,5,15,5-5-5,High-Value Regulars
14417,23,1,400.99,4,1,3,8,4-1-3,Promising Newcomers
14419,18,1,202.85,4,1,2,7,4-1-2,Promising Newcomers
14420,32,3,863.98,4,3,4,11,4-3-4,Loyal Mid-Tier
14421,148,3,973.24,2,3,4,9,2-3-4,Fading Customers
14422,10,13,4855.73,5,5,5,15,5-5-5,High-Value Regulars
14423,73,1,141.65,2,1,1,4,2-1-1,Disengaged Low-Value
14425,70,3,633.55,3,3,4,10,3-3-4,Loyal Mid-Tier
14426,39,7,5000.02,3,5,5,13,3-5-5,Loyal Mid-Tier
14427,130,2,433.48,2,3,3,8,2-3-3,Fading Customers
